UtcDateTime,LaneIndex,Action
10/04/2021 14:00:28,-1,"canceled"
10/04/2021 14:01:18,1,"open"
10/04/2021 14:01:23,4,"open"
10/04/2021 14:01:23,5,"open"
10/04/2021 14:01:27,1,"close"
10/04/2021 14:01:30,5,"close"
10/04/2021 14:01:36,4,"close"
10/04/2021 14:01:48,1,"damage=Medium"
10/04/2021 14:01:48,4,"damage=Medium"
10/04/2021 14:01:48,5,"damage=Medium"
10/04/2021 14:01:53,1,"cause=Slope"
10/04/2021 14:01:53,4,"cause=Slope"
10/04/2021 14:01:53,5,"cause=Slope"
10/04/2021 14:04:12,3,"open"
10/04/2021 14:04:25,2,"open"
10/04/2021 14:04:29,1,"open"
10/04/2021 14:04:38,-1,"Miss: 0.053125, 0.798682284040996"
10/04/2021 14:04:38,-1,"Miss: 0.0481062442064285, 0.822134171537564"
10/04/2021 14:04:38,-1,"Miss: 0.040625, 0.835285505124451"
10/04/2021 14:04:38,-1,"Miss: 0.040625, 0.835285505124451"
10/04/2021 14:04:39,2,"close"
10/04/2021 14:04:40,3,"close"
10/04/2021 14:04:40,2,"open"
10/04/2021 14:04:43,4,"open"
10/04/2021 14:04:44,5,"open"
10/04/2021 14:04:46,6,"open"
10/04/2021 14:04:50,-1,"Miss: 0.115625, 0.814787701317716"
10/04/2021 14:04:51,-1,"Miss: 0.115234375, 0.814787701317716"
10/04/2021 14:04:51,-1,"Miss: 0.114571833610535, 0.814787701317716"
10/04/2021 14:04:51,-1,"Miss: 0.113929605484009, 0.814787701317716"
10/04/2021 14:04:51,-1,"Miss: 0.1140625, 0.814787701317716"
10/04/2021 14:04:51,-1,"Miss: 0.08515625, 0.919472913616398"
10/04/2021 14:04:51,-1,"Miss: 0.0846108973026276, 0.920494962052754"
10/04/2021 14:04:51,-1,"Miss: 0.0835798025131226, 0.921682153927983"
10/04/2021 14:04:51,-1,"Miss: 0.0816608965396881, 0.925291449573344"
10/04/2021 14:04:51,-1,"Miss: 0.0807488620281219, 0.927000702038342"
10/04/2021 14:04:51,-1,"Miss: 0.082421875, 0.925329428989751"
10/04/2021 14:04:51,-1,"Miss: 0.082421875, 0.925329428989751"
10/04/2021 14:04:51,2,"close"
10/04/2021 14:04:58,1,"close"
10/04/2021 14:04:59,4,"close"
10/04/2021 14:04:59,5,"close"
10/04/2021 14:05:00,6,"close"
10/04/2021 14:05:05,-1,"Miss: 0.085546875, 0.530746705710103"
10/04/2021 14:05:05,-1,"Miss: 0.0848048210144043, 0.530746705710103"
10/04/2021 14:05:05,-1,"Miss: 0.0835539400577545, 0.530362041244395"
